Activity,Individuals,Frequency
A146,P11/P24/P357/P238/P398/P407/P303,1
A147,P351/P323,4
A148,P144/P84/P343/P177/P351/P323/P257/P273,1
A149,P11/P135/P357/P238/P129/P323,1
A150,P351/P129/P323,1
A151,P11/P24/P357/P351/P323,1
A152,P168/P215/P129/P351,1
A153,P167/P227/P177/P157,45
A154,P23/P343/P323,4
A155,P323/P164,1
A156,P351/P323,1
A157,P23/P135/P323/P166,4
A158,P351/P323/P129,12
A159,P144/P168/P215/P129/P351/P323,4
A160,P351/P184,1
A161,P351/P323,12
A162,P351/P257,1
A163,P174/P323,4
A164,P351/P174,1
A165,P323/P123,1
A166,P82/P323/P143,1
A167,P351/P339,4
A168,P143/P319/P263/P84/P343/P323/P174/P315/P257,1
A169,P351/P84,12
A170,P185/P141,12
A171,P351/P323,1
A172,P351/P257/P323,4
A173,P323/P143,4
A174,P80/P323,1
A175,P351/P387,1
A176,P84/P343/P351/P323/P257,12
A177,P84/P343/P320/P351/P323/P257,4
A178,P84/P343/P351/P323/P257/P273,4
A179,P351/P323/P129,4
A180,P351/P323/P129,1
A181,P351/P323/P129,1
A182,P168/P215/P343/P351/P194/P323/P257,4
A183,P351/P391,1
A184,P29/P225/P392/P82,12
A185,P29/P392/P347,12
A186,P386/P398/P261,4
A187,P417/P386/P398,12
A188,P225/P12/P229/P394/P187/P82/P47,1
A189,P47/P187/P12,12
A190,P260/P229/P82/P49,12
A191,P332/P225/P187/P82/P47,1
A192,P229/P236,4
A193,P332/P74/P29/P229/P236/P394/P260/P187/P82,12
A194,P260/P417,1
A195,P332/P74/P260/P71,1
A196,P22/P82,12
A197,P229/P236,1
A198,P229/P236,1
A199,P253/P417/P332/P74/P5/P320/P117/P266/P260/P82/P289,4
A200,P82/P260/P229/P236,12
A201,P74/P332/P49/P229/P236/P202/P394/P82,12
A202,P260/P187/P82,45
A203,P417/P225/P12/P204/P187/P82/P47,45
A204,P253/P74/P134/P229/P266/P137/P260/P368/P235,12
A205,P253/P11/P74/P49/P134/P229/P63/P266/P137/P260/P368/P163/P79/P71/P235,1
A206,P253/P11/P74/P49/P134/P229/P63/P266/P137/P260/P368/P163/P79/P235,4
A207,P260/P74/P71,200
A208,P225/P74/P12/P204/P260/P82/P47/P71,200
A209,P11/P357/P99/P82/P98,12
A210,P236/P82/P143,1
A211,P417/P225/P12/P204/P187/P82/P47,12
A212,P417/P225/P12/P287/P204/P187/P82/P47,12
A213,P417/P225/P12/P204/P187/P82/P47,12
A214,P417/P225/P12/P204/P187/P82/P47,12
A215,P417/P225/P12/P204/P187/P82/P47,12
A216,P417/P225/P12/P204/P187/P82/P47,12
A217,P417/P225/P12/P204/P187/P82/P47,12
A218,P417/P225/P12/P204/P187/P82/P47,12
A219,P225/P187/P82,1
A220,P186/P416/P371/P332/P66/P220/P229/P260/P163/P51/P74/P143/P379/P236/P202/P394/P232/P11/P365/P180,1
A221,P82/P143,45
A222,P82/P62,12
A223,P82/P311,12
A224,P112/P82/P42,4
A225,P80/P143/P280/P236/P148/P260/P82,1
A226,P225/P187/P22/P143,1
A227,P22/P82,12
A228,P332/P225/P29/P260/P82,1
A229,P229/P82,4
A230,P29/P82,12
A231,P41/P386/P82,12
A232,P82/P409,12
A233,P11/P225/P220/P357/P236,1
A234,P74/P332/P49/P229/P236/P202/P311/P43/P394/P260/P82/P412/P261,1
A235,P82/P261/P311,4
A236,P398/P82,1
A237,P343/P348/P403,1
A238,P297/P91/P356/P176/P271/P118/P252/P335/P272/P55/P77/P337/P197/P181/P145/P244/P130/P344/P50/P125/P121/P122/P384/P382/P328/P359/P219/P114/P388/P8/P381/P314/P53/P264/P159/P393/P397/P139/P283/P418/P188/P367/P373/P90/P124/P230/P109/P224/P57/P16,1
A239,P11/P143/P280/P124/P343/P357/P348/P257,1
A240,P80/P143/P280/P124/P343/P259/P257/P146,1
A241,P11/P24/P27/P357/P407/P303,1
A242,P11/P357/P387,1
A243,P11/P24,4
A244,P11/P24/P143/P280/P357/P387/P36/P146,1
A245,P11/P24/P27/P357/P407/P303,1
A246,P11/P24/P27/P357/P407/P303,1
A247,P11/P24/P357/P407/P303,1
A248,P11/P24/P27/P357/P407/P303,1
A249,P11/P24/P357/P407/P303,1
A250,P11/P357/P24/P407,1
A251,P11/P24/P357/P238/P407/P303,1
A252,P11/P24/P80/P112/P143/P280/P357/P148/P36,1
A253,P11/P24/P357/P227/P407/P303/P403,1
A254,P11/P24/P357/P238/P407/P303,1
A255,P11/P24/P357/P238/P303,4
A256,P357/P238/P112/P22/P63/P323/P303/P24/P143/P280/P36/P11/P80/P343,1
A257,P11/P357,1
A258,P11/P357/P238,1
A259,P357/P227/P238/P407/P63/P320/P323/P303/P403/P24/P280/P11/P80,1
A260,P11/P24/P357/P238,1
A261,P11/P24/P147/P10/P19/P238,1
A262,P11/P24/P147/P357/P227/P177/P398/P238/P403/P169,1
A263,P11/P24/P147/P10,1
A264,P11/P24/P147/P357,1
A265,P11/P24/P147/P357,1
A266,P11/P24/P357,1
A267,P11/P24/P295/P357/P398/P238/P303,1
A268,P11/P24/P80/P357/P320,1
A269,P11/P357/P10,1
A270,P11/P24/P357,12
A271,P11/P357,45
A272,P11/P357/P238,12
A273,P11/P357/P390,4
A274,P11/P24/P295/P357,1
A275,P11/P295/P398,1
A276,P11/P24/P10/P357/P238,1
A277,P11/P24/P147/P10/P19/P357/P238,1
A278,P11/P24/P147/P10/P357,1
A279,P11/P24/P357,4
A280,P357/P238,1
A281,P357/P24/P11/P238,45
A282,P11/P24/P238/P307,4
A283,P11/P280/P238/P307,1
A284,P357/P11/P238,4
A285,P11/P357/P238/P307,1
A286,P357/P11,1
A287,P11/P147/P10/P357/P238,1
A288,P11/P357/P24/P238,1
A289,P11/P10,1
A290,P11/P357/P238,1
A291,P11/P24/P10/P357/P169,1
A292,P11/P357/P19/P169,1
A293,P80/P391/P22/P322/P343/P396/P148,1
A294,P399/P324/P171/P123/P65,1
A295,P11/P74/P134/P266/P260/P235,1
A296,P253/P137/P254,1
A297,P49/P357/P134/P266/P392/P253/P22/P260/P65/P235/P377/P74/P399/P324/P171/P261/P11/P295/P254/P137/P123,1
A298,P377/P22,1
A299,P377/P11/P24/P143/P357/P343/P22/P242/P123,1
A300,P343/P22,4
A301,P168/P215/P143/P343/P323,1
A302,P22/P412,1
A303,P302/P298/P131,12
A304,P11/P357/P24/P295,1
A305,P351/P109/P129,1
A306,P11/P24/P295/P143/P357/P343/P298/P131/P129/P351/P109/P302/P323/P123/P65,1
A307,P351/P302/P298,1
A308,P254/P227/P343/P194/P403/P257,1
A309,P143/P254/P227/P343/P298/P131/P302/P194/P123/P403/P257,1
A310,P181/P227/P64/P52/P389/P307/P421/P198,45
A311,P307/P343/P227,4
A312,P253/P81/P285/P254/P70/P31/P137/P76/P368/P408/P309/P235,45
A313,P80/P254/P398/P259,1
A314,P22/P254,4
A315,P137/P194,4
A316,P227/P64/P35/P389/P421/P38,12
A317,P11/P24/P135/P357/P23,1
A318,P11/P24/P135/P80/P143/P280/P357/P343/P22/P192/P320/P298/P266/P323/P23,1
A319,P41/P386/P82,4
A320,P386/P261,12
A321,P336/P369/P42,1
A322,P80/P143/P22/P343/P320/P416/P425/P146,1
A323,P11/P24/P112/P265/P80/P143/P357/P387/P22/P416/P343/P407/P303/P425,1
A324,P377/P22/P387,1
A325,P80/P143/P280/P387/P22/P261,1
A326,P11/P80/P24/P317/P143/P357/P343/P238/P320,1
A327,P80/P20,1
A328,P377/P112/P373/P80/P225/P143/P280/P148/P259/P82/P397/P114/P261/P278,1
A329,P80/P42/P357/P320/P336/P88/P369/P156,1
A330,P11/P80/P24/P317/P357/P320/P88/P173/P156,1
A331,P391/P387/P242/P17/P146/P112/P321/P22/P322/P148/P69/P214/P143/P280/P259/P36/P261/P188/P80,1
A332,P100/P253/P74/P143/P254/P70/P29/P343/P383/P423/P137/P428/P408/P82/P153/P161/P392,1
A333,P336/P369/P42,1
A334,P112/P80/P215/P168/P280/P343/P387/P22/P320/P63/P307/P261,1
A335,P112/P80/P391/P143/P280/P343/P22/P387/P148/P259/P261,4
A336,P168/P357/P227/P387/P238/P307/P112/P181/P64/P22/P320/P63/P389/P323/P403/P421/P24/P143/P280/P52/P194/P259/P11/P80/P215/P254/P343/P257/P198,1
A337,P181/P227/P64/P52/P389/P307/P421/P198,1
A338,P391/P293/P387/P249/P242/P416/P112/P22/P245/P422/P164/P265/P183/P42/P280/P82/P300,1
A339,P80/P160/P43/P259/P273/P146,1
A340,P80/P143/P280/P22/P320,1
A341,P227/P80,1
